"","tFirst","tSecond","type"
"371",2021-11-15 10:49:29,2021-11-15 22:54:42,2
"372",2021-11-15 22:54:42,2021-11-16 10:53:11,1
"373",2021-11-16 10:53:11,2021-11-16 22:36:42,2
"374",2021-11-16 22:36:42,2021-11-17 10:48:11,1
"375",2021-11-17 10:48:11,2021-11-17 22:40:12,2
"376",2021-11-17 22:40:12,2021-11-18 10:49:47,1
"377",2021-11-18 10:49:47,2021-11-18 22:30:27,2
"378",2021-11-18 22:30:27,2021-11-19 10:55:11,1
"379",2021-11-19 10:55:11,2021-11-19 22:37:12,2
"380",2021-11-19 22:37:12,2021-11-20 10:47:47,1
"381",2021-11-20 10:47:47,2021-11-20 22:39:36,2
"382",2021-11-20 22:39:36,2021-11-21 10:55:01,1
"383",2021-11-21 10:55:01,2021-11-21 22:37:12,2
"384",2021-11-21 22:37:12,2021-11-22 10:52:47,1
"385",2021-11-22 10:52:47,2021-11-22 22:31:36,2
"386",2021-11-22 22:31:36,2021-11-23 10:53:11,1
"387",2021-11-23 10:53:11,2021-11-23 22:40:12,2
"388",2021-11-23 22:40:12,2021-11-24 10:53:11,1
"389",2021-11-24 10:53:11,2021-11-24 22:44:36,2
"390",2021-11-24 22:44:36,2021-11-25 10:50:31,1
"391",2021-11-25 10:50:31,2021-11-25 22:40:27,2
"392",2021-11-25 22:40:27,2021-11-26 10:53:21,1
"393",2021-11-26 10:53:21,2021-11-26 22:45:27,2
"394",2021-11-26 22:45:27,2021-11-27 10:50:51,1
"395",2021-11-27 10:50:51,2021-11-27 22:44:42,2
"396",2021-11-27 22:44:42,2021-11-28 10:43:51,1
"397",2021-11-28 10:43:51,2021-11-28 22:45:27,2
"398",2021-11-28 22:45:27,2021-11-29 10:25:08,1
"399",2021-11-29 10:25:08,2021-11-29 23:01:19,2
"400",2021-11-29 23:01:19,2021-11-30 10:55:01,1
"401",2021-11-30 10:55:01,2021-11-30 22:51:52,2
"402",2021-11-30 22:51:52,2021-12-01 10:47:47,1
"403",2021-12-01 10:47:47,2021-12-01 22:47:12,2
"404",2021-12-01 22:47:12,2021-12-02 10:57:41,1
"405",2021-12-02 10:57:41,2021-12-02 22:43:36,2
"406",2021-12-02 22:43:36,2021-12-03 10:56:56,1
"407",2021-12-03 10:56:56,2021-12-03 22:41:52,2
"408",2021-12-03 22:41:52,2021-12-04 11:00:51,1
"409",2021-12-04 11:00:51,2021-12-04 22:42:12,2
"410",2021-12-04 22:42:12,2021-12-05 10:59:11,1
"411",2021-12-05 10:59:11,2021-12-05 22:43:37,2
"412",2021-12-05 22:43:37,2021-12-06 10:55:41,1
